powder,media,plating,test,mean_count,mean_spread_percent,mean_count_wNA,SPR,SPRs,temp_media,mean_count2,log_mean_count,log_mean_count_wNA,mean_spread_percent_wNA,SPRs_wNA,SPR_wNA
D,SMA,Spread,STSE,268.8888889,0,NA,no,none,Spread,268.8888889,2.429572857,NA,NA,NA,NA
D,SMA,SpreadwOverlay,HHR.TSC,8557.777778,0,NA,no,none,SpreadwOverlay,8557.777778,3.932361005,NA,NA,NA,NA
D,SMA,SpreadwOverlay,SP.MSC,144.4444444,0,NA,no,none,SpreadwOverlay,144.4444444,2.159700843,NA,NA,NA,NA
D,SMA,SpreadwOverlay,SP.TSC,50506.66667,15.83333333,NA,no,no,SpreadwOverlay,50506.66667,4.703348707,NA,NA,NA,NA
D,SMA,SpreadwOverlay,STSE,320,0,NA,no,none,SpreadwOverlay,320,2.505149978,NA,NA,NA,NA
D,TSAwS,Pour,HHR.TSC,10000,0,10000,no,none,Pour,10000,4,4,0,none,no
D,TSAwS,Pour,SP.MSC,140,0,140,no,none,Pour,140,2.146128036,2.146128036,0,none,no
D,TSAwS,Pour,SP.TSC,51000,0,51000,no,none,Pour,51000,4.707570176,4.707570176,0,none,no
D,TSAwS,Pour,STSE,270,0,270,no,none,Pour,270,2.431363764,2.431363764,0,none,no
D,TSAwS,Spread,HHR.TSC,2900,0,2900,no,none,Spread,2900,3.462397998,3.462397998,0,none,no
D,TSAwS,Spread,SP.MSC,160,5,160,no,no,Spread,160,2.204119983,2.204119983,5,no,no
D,TSAwS,Spread,SP.TSC,18000,5,18000,no,no,Spread,18000,4.255272505,4.255272505,5,no,no
D,TSAwS,Spread,STSE,120,0,120,no,none,Spread,120,2.079181246,2.079181246,0,none,no
D,TSAwS,SpreadwOverlay,HHR.TSC,3360,0,3360,no,none,SpreadwOverlay,3360,3.526339277,3.526339277,0,none,no
D,TSAwS,SpreadwOverlay,SP.MSC,140,0,140,no,none,SpreadwOverlay,140,2.146128036,2.146128036,0,none,no
D,TSAwS,SpreadwOverlay,SP.TSC,24000,0,24000,no,none,SpreadwOverlay,24000,4.380211242,4.380211242,0,none,no
D,TSAwS,SpreadwOverlay,STSE,180,0,180,no,none,SpreadwOverlay,180,2.255272505,2.255272505,0,none,no
E,BHI,Pour,HHR.TSC,250,0,250,no,none,Pour,250,2.397940009,2.397940009,0,none,no
E,BHI,Pour,SP.MSC,540,0,540,no,none,Pour,540,2.73239376,2.73239376,0,none,no
E,BHI,Pour,SP.TSC,2050,37.5,2050,yes,yes,Pour,2050,3.311753861,3.311753861,37.5,yes,yes
E,BHI,Pour,STSE,10,10,10,no,no,Pour,10,1,1,10,no,no
E,BHI,Spread,HHR.TSC,0,0,0,no,none,Spread,10,1,1,0,none,no
E,BHI,Spread,SP.MSC,160,55,160,yes,yes,Spread,160,2.204119983,2.204119983,55,yes,yes
E,BHI,Spread,SP.TSC,100,80,100,yes,yes,Spread,100,2,2,80,yes,yes
E,BHI,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
E,BHI,SpreadwOverlay,HHR.TSC,60,0,60,no,none,SpreadwOverlay,60,1.77815125,1.77815125,0,none,no
E,BHI,SpreadwOverlay,SP.MSC,440,17.5,440,no,no,SpreadwOverlay,440,2.643452676,2.643452676,17.5,no,no
E,BHI,SpreadwOverlay,SP.TSC,620,25,620,no,no,SpreadwOverlay,620,2.792391689,2.792391689,25,no,no
E,BHI,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
E,PCMA,Pour,HHR.TSC,640,0,640,no,none,Pour,640,2.806179974,2.806179974,0,none,no
E,PCMA,Pour,SP.MSC,240,35,240,yes,yes,Pour,240,2.380211242,2.380211242,35,yes,yes
E,PCMA,Pour,SP.TSC,1330,77.5,1330,yes,yes,Pour,1330,3.123851641,3.123851641,77.5,yes,yes
E,PCMA,Pour,STSE,0,0,0,no,none,Pour,5,0.698970004,0.698970004,0,none,no
E,PCMA,Spread,HHR.TSC,140,0,140,no,none,Spread,140,2.146128036,2.146128036,0,none,no
E,PCMA,Spread,SP.MSC,320,15,320,no,no,Spread,320,2.505149978,2.505149978,15,no,no
E,PCMA,Spread,SP.TSC,500,92.5,500,yes,yes,Spread,500,2.698970004,2.698970004,92.5,yes,yes
E,PCMA,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
